stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
full_v2,10,45,normal_staggered,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.1525
full_v2,10,45,normal_staggered,attack_lateral_known_path,evasive,challenge,0.5833333333333334,0.5833333333333334,0.38833333333333336
full_v2,10,45,normal_staggered,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.2141666666666667
hardened_v3,10,45,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.6958333333333334
hardened_v3,10,45,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.405
hardened_v3,10,45,normal_staggered,attack_new_os,known,warn,0.0,1.0,0.2020833333333334
hardened_v3,10,45,normal_staggered,attack_off_hours,known,warn,0.0,0.5,0.22416666666666665
hardened_v3,10,45,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.6958333333333333
hardened_v3,10,45,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.6916666666666668
hardened_v3,10,45,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.6133333333333333
hardened_v3,10,45,normal_staggered,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9349999999999999
hardened_v3,10,45,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.61
hardened_v3,10,45,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.785
hardened_v3,10,45,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9816666666666669
hardened_v3,10,45,normal_staggered,attack_failed_near_threshold,evasive,challenge,1.0,1.0,0.47500000000000003
hardened_v3,10,45,normal_staggered,attack_velocity_near_threshold,evasive,challenge,1.0,1.0,0.365
hardened_v3,10,45,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.9100000000000001
hardened_v3,10,45,normal_staggered,attack_session_exfiltration,evasive,challenge,0.3333333333333333,0.3333333333333333,0.3283333333333333
hardened_v3,10,45,normal_staggered,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.8500000000000001
hardened_v3,10,45,normal_staggered,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.46833333333333327
full_v2,10,45,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.9012500000000001
full_v2,10,45,normal_nat_burst,attack_new_ua_family,known,challenge,0.9166666666666666,0.9166666666666666,0.5941666666666667
full_v2,10,45,normal_nat_burst,attack_new_os,known,warn,0.0,0.0,0.3941666666666667
full_v2,10,45,normal_nat_burst,attack_off_hours,known,warn,0.0,0.0,0.19458333333333333
full_v2,10,45,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.5183333333333334
full_v2,10,45,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.5212500000000001
full_v2,10,45,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.4237499999999999
full_v2,10,45,normal_nat_burst,attack_subsystem_lateral,known,challenge,0.5,0.5,0.5116666666666666
full_v2,10,45,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.5608333333333334
full_v2,10,45,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.6008333333333333
full_v2,10,45,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9666666666666667
full_v2,10,45,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.1516666666666667
full_v2,10,45,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.04416666666666667
full_v2,10,45,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,0.08333333333333333,0.08333333333333333,0.27999999999999997
full_v2,10,45,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.04750000000000001
full_v2,10,45,normal_nat_burst,attack_lateral_known_path,evasive,challenge,0.6666666666666666,0.6666666666666666,0.36999999999999994
full_v2,10,45,normal_nat_burst,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.1975
hardened_v3,10,45,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.6925
hardened_v3,10,45,normal_nat_burst,attack_new_ua_family,known,challenge,1.0,1.0,0.3945833333333333
hardened_v3,10,45,normal_nat_burst,attack_new_os,known,warn,0.0,1.0,0.19458333333333336
hardened_v3,10,45,normal_nat_burst,attack_off_hours,known,warn,0.0,0.5,0.2058333333333333
hardened_v3,10,45,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.695
hardened_v3,10,45,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.695
hardened_v3,10,45,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.5975
hardened_v3,10,45,normal_nat_burst,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9325
hardened_v3,10,45,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.5933333333333334
