stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,500,44,normal_staggered,3564,1200,0.6948692255271559,0.763479711236539,0,2,1198,272,0.0,0.0,0.0,0.7990533088235294,0.5766303074436911,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,44,normal_staggered,3564,1200,0.6948692255271559,0.763479711236539,0,2,1198,272,0.0,0.0,0.0,0.795030637254902,0.5067171223333954,0.0016666666666666668,0.005,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
hardened_v3_event,500,44,normal_nat_burst,3564,1200,0.6362830941897587,0.6997386806546256,0,1,1199,272,0.0,0.0,0.0,0.8926011029411766,0.7623843026623803,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,44,normal_nat_burst,3564,1200,0.6362830941897587,0.6997386806546256,39,1,1199,233,0.975,0.14338235294117646,0.24999999999999994,0.9003155637254903,0.7501685595703179,0.0008333333333333334,0.01,0.0,0.38235294117647056,0.20588235294117646,0.35294117647058826,5.0,1.0,1200,272,68
hardened_v3_event,500,45,normal_staggered,3564,1200,0.6411286236505462,0.7197728386155648,0,1,1199,272,0.0,0.0,0.0,0.7960661764705883,0.5708709938718248,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,45,normal_staggered,3564,1200,0.6411286236505462,0.7197728386155648,12,1,1199,260,0.9230769230769231,0.04411764705882353,0.08421052631578949,0.8125888480392158,0.5565022671106744,0.0008333333333333334,0.0075,0.0,0.17647058823529413,0.0,0.17647058823529413,5.0,1.0,1200,272,68
hardened_v3_event,500,45,normal_nat_burst,3564,1200,0.6342933277998254,0.702849870748353,0,3,1197,272,0.0,0.0,0.0,0.9231265318627451,0.795842566010753,0.0025,0.0025,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,45,normal_nat_burst,3564,1200,0.6342933277998254,0.702849870748353,37,5,1195,235,0.8809523809523809,0.13602941176470587,0.2356687898089172,0.886188725490196,0.7169372962803091,0.004166666666666667,0.0125,0.0,0.38235294117647056,0.20588235294117646,0.3235294117647059,5.0,1.0,1200,272,68
hardened_v3_event,500,46,normal_staggered,3564,1200,0.666943258337217,0.7315446402390172,0,2,1198,272,0.0,0.0,0.0,0.8062775735294119,0.6095168824784251,0.0016666666666666668,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,46,normal_staggered,3564,1200,0.666943258337217,0.7315446402390172,13,3,1197,259,0.8125,0.04779411764705882,0.09027777777777778,0.784701286764706,0.4993914638615585,0.0025,0.010833333333333334,0.0,0.19117647058823528,0.014705882352941176,0.17647058823529413,5.0,1.0,1200,272,68
hardened_v3_event,500,46,normal_nat_burst,3564,1200,0.6358823507126451,0.7080391514924798,0,1,1199,272,0.0,0.0,0.0,0.9103538602941176,0.7826260499087894,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,46,normal_nat_burst,3564,1200,0.6358823507126451,0.7080391514924798,16,2,1198,256,0.8888888888888888,0.058823529411764705,0.1103448275862069,0.8774142156862746,0.7201553415177174,0.0016666666666666668,0.006666666666666667,0.0,0.23529411764705882,0.058823529411764705,0.17647058823529413,5.0,1.0,1200,272,68
hardened_v3_event,1000,42,normal_staggered,7164,2400,0.67137950698516,0.7544122750090836,0,8,2392,272,0.0,0.0,0.0,0.7492746629901961,0.38412199652321244,0.0033333333333333335,0.00375,0.00125,0.0,0.0,0.0,5.0,1.0,2400,272,68
sequence_model_v5,1000,42,normal_staggered,7164,2400,0.67137950698516,0.7544122750090836,12,10,2390,260,0.5454545454545454,0.04411764705882353,0.0816326530612245,0.8004610906862745,0.322472472408307,0.004166666666666667,0.012083333333333333,0.00125,0.17647058823529413,0.0,0.17647058823529413,5.0,1.0,2400,272,68
hardened_v3_event,1000,42,normal_nat_burst,7164,2400,0.6181598304029973,0.6893796125298313,0,3,2397,272,0.0,0.0,0.0,0.8922656250000001,0.6267922896886821,0.00125,0.00125,0.0004166666666666667,0.0,0.0,0.0,5.0,1.0,2400,272,68
